workerid,proliferate.condition,adj,adj_tr,label,object,response,rt,slide_number_in_experiment,trial_type,error
823,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.12],2896,34,,
823,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.01],1784,35,,
823,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.02],2080,36,,
823,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.01],2087,37,,
823,condition1,closed,kapalı,box_closed_cardboard,box,[0.03],1918,38,,
823,condition1,cardboard,karton,box_closed_cardboard,box,[0.02],1657,39,,
823,condition1,colored,renkli,picture_colored_rectangular,picture,[0.2],4087,40,,
823,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.01],2067,41,,
823,condition1,short,kısa,pencil_short_black,pencil,[0.61],2459,42,,
823,condition1,small,küçük,bottle_glass_small,bottle,[0.56],2280,43,,
823,condition1,green,yeşil,frog_spotted_green,frog,[0.01],2243,44,,
823,condition1,matte,mat,nails_black_matte,nails,[0.16],2957,45,,
823,condition1,round,yuvarlak,earring_big_round,earring,[0.18],2560,46,,
823,condition1,black,siyah,nails_black_glossy,nails,[0.01],1772,47,,
823,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.59],2239,48,,
893,condition1,,,,beyaz,BEYAZ,0,1,bot_check,
893,condition1,blond,sarı,hair_curly_blonde,hair,[0.48],7578,3,,
893,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.56],5203,4,,
893,condition1,bearded,sakallı,man_old_bearded,man,[0.89],11825,5,,
893,condition1,glass,cam,bottle_glass_big,bottle,[0.11],5569,6,,
893,condition1,small,küçük,bottle_glass_small,bottle,[0.47],3552,7,,
893,condition1,long,uzun,pencil_long_black,pencil,[0.68],15488,8,,
893,condition1,black,siyah,nails_black_glossy,nails,[0.26],4025,9,,
893,condition1,happy,mutlu,woman_old_happy,woman,[1],8952,10,,
893,condition1,square,kare,picture_bw_square,picture,[0],5014,11,,
893,condition1,cardboard,karton,box_closed_cardboard,box,[0.02],4703,12,,
893,condition1,brown,kahverengi,hair_curly_brown,hair,[0.53],3560,13,,
893,condition1,clean,temiz,spoon_metal_clean,spoon,[0.7],8888,14,,
893,condition1,high,yüksek,table_metal_high,table,[0.26],4557,15,,
893,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.23],5103,16,,
893,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[1],5385,17,,
893,condition1,spotted,benekli,frog_spotted_green,frog,[0.97],4119,18,,
893,condition1,closed,kapalı,box_closed_cardboard,box,[0.49],3516,19,,
893,condition1,striped,çizgili,frog_striped_green,frog,[0.15],6893,20,,
893,condition1,open,açık,box_open_cardboard,box,[0.5],3379,21,,
893,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.57],4276,22,,
893,condition1,triangular,üçgen,earring_big_triangular,earring,[0.07],5558,23,,
893,condition1,round,yuvarlak,earring_big_round,earring,[0.21],4707,24,,
893,condition1,fat,şişman,woman2_happy_fat,woman,[0.99],5094,25,,
893,condition1,green,yeşil,frog_spotted_green,frog,[0.49],2725,26,,
893,condition1,skinny,zayıf,woman2_happy_skinny,woman,[1],5002,27,,
893,condition1,dry,kuru,shorts_dry_green,shorts,[0.18],5021,28,,
893,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0],3285,29,,
893,condition1,straight,düz,hair_straight_blond,hair,[0],4012,30,,
893,condition1,red,kırmızı,frog_spotted_red,frog,[0.17],4255,31,,
893,condition1,low,alçak,table_metal_low,table,[0.23],4913,32,,
893,condition1,matte,mat,nails_black_matte,nails,[0.1],3525,33,,
893,condition1,metal,metal,spoon_metal_clean,spoon,[0],5049,34,,
893,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[1],2973,35,,
893,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.49],9172,36,,
