workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,error
113,condition1,colored,picture_colored_rectangular,picture,[0.03],4927,14,,
113,condition1,red,frog_spotted_red,frog,[0.02],2147,15,,
113,condition1,bearded,man_old_bearded,man,[0.04],3137,16,,
113,condition1,spotted,frog_spotted_green,frog,[0.06],4389,17,,
113,condition1,brown,hair_curly_brown,hair,[0.02],2190,18,,
113,condition1,happy,woman_old_happy,woman,[0.75],3736,19,,
113,condition1,skinny,woman2_happy_skinny,woman,[0.8],2095,20,,
113,condition1,curly,hair_curly_blonde,hair,[0.5],4832,21,,
113,condition1,rectangular,picture_bw_rectangular,picture,[0.03],2896,22,,
113,condition1,dirty,spoon_metal_dirty,spoon,[0],6363,23,,
113,condition1,straight,hair_straight_blond,hair,[0.05],3385,24,,
113,condition1,plastic,bottle_plastic_big,bottle,[0.03],2683,25,,
113,condition1,dry,shorts_dry_green,shorts,[0.19],5122,26,,
113,condition1,triangular,earring_big_triangular,earring,[0.02],3835,27,,
113,condition1,big,bottle_glass_big,bottle,[0.96],1972,28,,
113,condition1,metal,spoon_metal_clean,spoon,[0.04],3647,29,,
113,condition1,green,frog_spotted_green,frog,[0.04],2903,30,,
113,condition1,round,earring_big_round,earring,[0.7],2471,31,,
113,condition1,wet,shorts_wet_green,shorts,[0.08],2559,32,,
113,condition1,glossy,nails_black_glossy,nails,[0.78],2669,33,,
113,condition1,glass,bottle_glass_big,bottle,[0.04],2224,34,,
113,condition1,black and white,picture_bw_rectangular,picture,[0.05],2364,35,,
113,condition1,blue,pencil_long_blue,pencil,[0.04],2696,36,,
113,condition1,wooden,spoon_wooden_clean,spoon,[0.02],2397,37,,
113,condition1,open,box_open_cardboard,box,[0.01],4375,38,,
113,condition1,closed,box_closed_cardboard,box,[0.02],2820,39,,
113,condition1,mustache-touting,man2_mustached_glassed,man,[0.43],3985,40,,
113,condition1,young,man_young_bearded,man,[0.82],4145,41,,
113,condition1,sad,woman_old_sad,woman,[0.78],1496,42,,
113,condition1,cardboard,box_closed_cardboard,box,[0.05],2229,43,,
113,condition1,square,picture_bw_square,picture,[0.03],1942,44,,
113,condition1,hat-wearing,man2_bearded_hatted,man,[0.02],2389,45,,
113,condition1,fat,woman2_happy_fat,woman,[0.81],2702,46,,
113,condition1,glasses-wearing,man2_bearded_glassed,man,[0.01],3358,47,,
113,condition1,short,pencil_short_black,pencil,[0.8],1622,48,,
88,condition1,,,Margaret,Margaret,0,1,bot_check,
88,condition1,blue,pencil_long_blue,pencil,[0.19],7155,3,,
88,condition1,small,bottle_glass_small,bottle,[0.7],4421,4,,
88,condition1,curly,hair_curly_blonde,hair,[0.83],4550,5,,
88,condition1,sad,woman_old_sad,woman,[0],4476,6,,
88,condition1,green,frog_spotted_green,frog,[0.68],5658,7,,
88,condition1,low,table_metal_low,table,[0.77],2894,8,,
88,condition1,open,box_open_cardboard,box,[0],2991,9,,
88,condition1,red,frog_spotted_red,frog,[1],2975,10,,
88,condition1,brown,hair_curly_brown,hair,[0.16],2628,11,,
88,condition1,wooden,spoon_wooden_clean,spoon,[0],2634,12,,
88,condition1,old,man_old_bearded,man,[0.66],3413,13,,
88,condition1,colored,picture_colored_rectangular,picture,[0],2997,14,,
88,condition1,glass,bottle_glass_big,bottle,[0],2734,15,,
88,condition1,blond,hair_curly_blonde,hair,[0.69],2088,16,,
88,condition1,dirty,spoon_metal_dirty,spoon,[0.4],3745,17,,
88,condition1,clean,spoon_metal_clean,spoon,[0.36],4292,18,,
88,condition1,square,picture_bw_square,picture,[0],2016,19,,
88,condition1,round,earring_big_round,earring,[0],2402,20,,
88,condition1,mustache-touting,man2_mustached_glassed,man,[0.46],3983,21,,
88,condition1,happy,woman_old_happy,woman,[0],1684,22,,
88,condition1,triangular,earring_big_triangular,earring,[0],2278,23,,
88,condition1,black,nails_black_glossy,nails,[0.66],3680,24,,
88,condition1,glossy,nails_black_glossy,nails,[0.69],7045,25,,
88,condition1,plastic,bottle_plastic_big,bottle,[0],1741,26,,
88,condition1,dry,shorts_dry_green,shorts,[0],2507,27,,
88,condition1,big,bottle_glass_big,bottle,[0.64],1742,28,,
88,condition1,straight,hair_straight_blond,hair,[0.73],1499,29,,
88,condition1,high,table_metal_high,table,[0.71],1596,30,,
88,condition1,fat,woman2_happy_fat,woman,[0.65],1523,31,,
88,condition1,closed,box_closed_cardboard,box,[0],1822,32,,
88,condition1,hat-wearing,man2_bearded_hatted,man,[0],2370,33,,
88,condition1,bearded,man_old_bearded,man,[0],1806,34,,
88,condition1,matte,nails_black_matte,nails,[0.76],1758,35,,
88,condition1,clean-shaven,man_old_cleanshaven,man,[0],1635,36,,
88,condition1,skinny,woman2_happy_skinny,woman,[0.69],1686,37,,
88,condition1,short,pencil_short_black,pencil,[0.1],5466,38,,
88,condition1,wet,shorts_wet_green,shorts,[0],2172,39,,
88,condition1,cardboard,box_closed_cardboard,box,[0],2053,40,,
88,condition1,black and white,picture_bw_rectangular,picture,[0],2337,41,,
88,condition1,rectangular,picture_bw_rectangular,picture,[0],1958,42,,
88,condition1,young,man_young_bearded,man,[1],1699,43,,
88,condition1,long,pencil_long_black,pencil,[0],2041,44,,
88,condition1,metal,spoon_metal_clean,spoon,[0],1789,45,,
88,condition1,striped,frog_striped_green,frog,[0],2016,46,,
88,condition1,glasses-wearing,man2_bearded_glassed,man,[0],1636,47,,
88,condition1,spotted,frog_spotted_green,frog,[0],1588,48,,
106,condition1,,,Jessica,Jessica,0,1,bot_check,
106,condition1,dirty,spoon_metal_dirty,spoon,[0],10973,3,,
106,condition1,mustache-touting,man2_mustached_glassed,man,[0],4031,4,,
106,condition1,young,man_young_bearded,man,[0.9],4994,5,,
106,condition1,cardboard,box_closed_cardboard,box,[0],4926,6,,
106,condition1,blond,hair_curly_blonde,hair,[0],1930,7,,
106,condition1,red,frog_spotted_red,frog,[0.09],4502,8,,
106,condition1,long,pencil_long_black,pencil,[0.44],2949,9,,
106,condition1,black,nails_black_glossy,nails,[0.15],4371,10,,
106,condition1,clean-shaven,man_old_cleanshaven,man,[0],2406,11,,
106,condition1,blue,pencil_long_blue,pencil,[0],2998,12,,
106,condition1,plastic,bottle_plastic_big,bottle,[0],2439,13,,
106,condition1,round,earring_big_round,earring,[0.23],4788,14,,
106,condition1,glass,bottle_glass_big,bottle,[0],2838,15,,
106,condition1,old,man_old_bearded,man,[0.65],3202,16,,
106,condition1,black and white,picture_bw_rectangular,picture,[0],2739,17,,
106,condition1,closed,box_closed_cardboard,box,[0],1685,18,,
106,condition1,skinny,woman2_happy_skinny,woman,[0.82],113605,19,,
106,condition1,low,table_metal_low,table,[0.2],2732,20,,
106,condition1,fat,woman2_happy_fat,woman,[0.92],2985,21,,
106,condition1,colored,picture_colored_rectangular,picture,[0],1744,22,,
106,condition1,high,table_metal_high,table,[0.41],3115,23,,
106,condition1,big,bottle_glass_big,bottle,[0.45],2781,24,,
106,condition1,hat-wearing,man2_bearded_hatted,man,[0],2264,25,,
106,condition1,sad,woman_old_sad,woman,[0.46],2063,26,,
106,condition1,triangular,earring_big_triangular,earring,[0],2231,27,,
106,condition1,brown,hair_curly_brown,hair,[0],2306,28,,
106,condition1,wet,shorts_wet_green,shorts,[0],3819,29,,
106,condition1,curly,hair_curly_blonde,hair,[0.13],7432,30,,
106,condition1,dry,shorts_dry_green,shorts,[0],2249,31,,
106,condition1,metal,spoon_metal_clean,spoon,[0],2027,32,,
106,condition1,bearded,man_old_bearded,man,[0],1445,33,,
106,condition1,wooden,spoon_wooden_clean,spoon,[0],1474,34,,
106,condition1,short,pencil_short_black,pencil,[0.4],2175,35,,
106,condition1,green,frog_spotted_green,frog,[0],1802,36,,
106,condition1,clean,spoon_metal_clean,spoon,[0],81131,37,,
106,condition1,open,box_open_cardboard,box,[0.04],18236,38,,
106,condition1,rectangular,picture_bw_rectangular,picture,[0],2348,39,,
106,condition1,happy,woman_old_happy,woman,[0.24],2048,40,,
106,condition1,straight,hair_straight_blond,hair,[0],1133,41,,
106,condition1,small,bottle_glass_small,bottle,[0.24],2695,42,,
106,condition1,square,picture_bw_square,picture,[0],3228,43,,
106,condition1,matte,nails_black_matte,nails,[0.14],2111,44,,
106,condition1,spotted,frog_spotted_green,frog,[0],2156,45,,
106,condition1,glossy,nails_black_glossy,nails,[0],1182,46,,
106,condition1,glasses-wearing,man2_bearded_glassed,man,[0],1295,47,,
106,condition1,striped,frog_striped_green,frog,[0],2774,48,,
56,condition1,,,Jennifer,Jennifer,0,1,bot_check,
56,condition1,striped,frog_striped_green,frog,[0],17568,3,,
56,condition1,triangular,earring_big_triangular,earring,[0.07],11200,4,,
56,condition1,wooden,spoon_wooden_clean,spoon,[0.04],3360,5,,
56,condition1,green,frog_spotted_green,frog,[0.07],3792,6,,
56,condition1,spotted,frog_spotted_green,frog,[0.03],3848,7,,
56,condition1,rectangular,picture_bw_rectangular,picture,[0.05],2952,8,,
56,condition1,hat-wearing,man2_bearded_hatted,man,[0.04],6816,9,,
56,condition1,glossy,nails_black_glossy,nails,[0.06],4016,10,,
56,condition1,cardboard,box_closed_cardboard,box,[0.05],4928,11,,
56,condition1,plastic,bottle_plastic_big,bottle,[0.05],3280,12,,
56,condition1,long,pencil_long_black,pencil,[0.22],5912,13,,
56,condition1,sad,woman_old_sad,woman,[0.47],9815,14,,
56,condition1,black,nails_black_glossy,nails,[0.04],4736,15,,
56,condition1,red,frog_spotted_red,frog,[0.04],3473,16,,
56,condition1,big,bottle_glass_big,bottle,[0.13],4023,17,,
56,condition1,brown,hair_curly_brown,hair,[0.03],2856,18,,
56,condition1,metal,spoon_metal_clean,spoon,[0.03],3199,19,,
56,condition1,closed,box_closed_cardboard,box,[0.06],3160,20,,
56,condition1,glass,bottle_glass_big,bottle,[0.05],6784,21,,
56,condition1,colored,picture_colored_rectangular,picture,[0.05],27304,22,,
56,condition1,open,box_open_cardboard,box,[0.03],2080,23,,
56,condition1,matte,nails_black_matte,nails,[0.04],2639,24,,
56,condition1,fat,woman2_happy_fat,woman,[0.25],2969,25,,
56,condition1,clean-shaven,man_old_cleanshaven,man,[0.25],3320,26,,
56,condition1,skinny,woman2_happy_skinny,woman,[0.46],3408,27,,
56,condition1,clean,spoon_metal_clean,spoon,[0.2],3392,28,,
56,condition1,young,man_young_bearded,man,[0.42],2584,29,,
56,condition1,dry,shorts_dry_green,shorts,[0.14],2792,30,,
56,condition1,small,bottle_glass_small,bottle,[0.25],2351,31,,
56,condition1,straight,hair_straight_blond,hair,[0.05],2368,32,,
56,condition1,low,table_metal_low,table,[0.16],5423,33,,
56,condition1,square,picture_bw_square,picture,[0.06],2135,34,,
56,condition1,mustache-touting,man2_mustached_glassed,man,[0.08],3712,35,,
56,condition1,dirty,spoon_metal_dirty,spoon,[0.07],2023,36,,
56,condition1,blue,pencil_long_blue,pencil,[0.02],2112,37,,
56,condition1,black and white,picture_bw_rectangular,picture,[0.04],2656,38,,
56,condition1,glasses-wearing,man2_bearded_glassed,man,[0.05],3736,39,,
56,condition1,bearded,man_old_bearded,man,[0.04],6000,40,,
56,condition1,short,pencil_short_black,pencil,[0.19],2943,41,,
56,condition1,high,table_metal_high,table,[0.24],1879,42,,
56,condition1,blond,hair_curly_blonde,hair,[0.2],1488,43,,
56,condition1,happy,woman_old_happy,woman,[0.37],3312,44,,
56,condition1,curly,hair_curly_blonde,hair,[0.05],1840,45,,
56,condition1,old,man_old_bearded,man,[0.34],2304,46,,
56,condition1,round,earring_big_round,earring,[0.03],3687,47,,
56,condition1,wet,shorts_wet_green,shorts,[0.32],2024,48,,
97,condition1,,,Margaret,Margaret,0,1,bot_check,
97,condition1,high,table_metal_high,table,[0.63],7439,3,,
97,condition1,big,bottle_glass_big,bottle,[0.57],3397,4,,
97,condition1,clean,spoon_metal_clean,spoon,[0.02],2351,5,,
97,condition1,glasses-wearing,man2_bearded_glassed,man,[0],4614,6,,
97,condition1,wet,shorts_wet_green,shorts,[0.02],2688,7,,
97,condition1,dry,shorts_dry_green,shorts,[0],7288,8,,
97,condition1,straight,hair_straight_blond,hair,[0.7],4338,9,,
97,condition1,mustache-touting,man2_mustached_glassed,man,[0.04],3209,10,,
97,condition1,low,table_metal_low,table,[0.03],4638,11,,
97,condition1,striped,frog_striped_green,frog,[0.02],2234,12,,
97,condition1,rectangular,picture_bw_rectangular,picture,[0.02],2240,13,,
97,condition1,dirty,spoon_metal_dirty,spoon,[0.04],2124,14,,
97,condition1,short,pencil_short_black,pencil,[0.05],2300,15,,
97,condition1,long,pencil_long_black,pencil,[0.03],1714,16,,
97,condition1,colored,picture_colored_rectangular,picture,[0.05],1362,17,,
97,condition1,black,nails_black_glossy,nails,[0.05],3751,18,,
97,condition1,glossy,nails_black_glossy,nails,[0.03],1380,19,,
97,condition1,bearded,man_old_bearded,man,[0.01],808,20,,
97,condition1,fat,woman2_happy_fat,woman,[0.03],536,21,,
97,condition1,metal,spoon_metal_clean,spoon,[0.03],472,22,,
97,condition1,skinny,woman2_happy_skinny,woman,[0.03],440,23,,
97,condition1,curly,hair_curly_blonde,hair,[0.03],472,24,,
97,condition1,plastic,bottle_plastic_big,bottle,[0.07],400,25,,
97,condition1,square,picture_bw_square,picture,[0.11],472,26,,
97,condition1,small,bottle_glass_small,bottle,[0.15],456,27,,
97,condition1,red,frog_spotted_red,frog,[0.08],440,28,,
97,condition1,brown,hair_curly_brown,hair,[0.06],455,29,,
97,condition1,old,man_old_bearded,man,[0.04],527,30,,
97,condition1,young,man_young_bearded,man,[0.07],408,31,,
97,condition1,clean-shaven,man_old_cleanshaven,man,[0.06],440,32,,
97,condition1,glass,bottle_glass_big,bottle,[0.06],336,33,,
97,condition1,open,box_open_cardboard,box,[0.06],320,34,,
97,condition1,sad,woman_old_sad,woman,[0.06],304,35,,
97,condition1,wooden,spoon_wooden_clean,spoon,[0.06],296,36,,
97,condition1,closed,box_closed_cardboard,box,[0.06],280,37,,
97,condition1,hat-wearing,man2_bearded_hatted,man,[0.06],304,38,,
97,condition1,spotted,frog_spotted_green,frog,[0.06],280,39,,
97,condition1,blond,hair_curly_blonde,hair,[0.06],256,40,,
97,condition1,happy,woman_old_happy,woman,[0.06],280,41,,
97,condition1,green,frog_spotted_green,frog,[0.06],288,42,,
